Number of observations, 7.000000000000000000e+00 1.200000000000000000e+01 7.000000000000000000e+00 7.000000000000000000e+00 2.000000000000000000e+01 3.000000000000000000e+01 1.500000000000000000e+01 2.900000000000000000e+01 2.000000000000000000e+01 2.000000000000000000e+00 2.000000000000000000e+00 6.000000000000000000e+00 1.600000000000000000e+01 7.000000000000000000e+00 1.300000000000000000e+01 1.500000000000000000e+01 1.000000000000000000e+00 5.000000000000000000e+00 1.100000000000000000e+01 1.900000000000000000e+01 2.000000000000000000e+01 4.600000000000000000e+01 2.200000000000000000e+01 2.900000000000000000e+01 2.500000000000000000e+01 6.000000000000000000e+00 2.000000000000000000e+01 2.100000000000000000e+01 1.500000000000000000e+01 1.400000000000000000e+01 2.000000000000000000e+00 2.000000000000000000e+00 1.900000000000000000e+01 1.000000000000000000e+01 1.900000000000000000e+01 9.000000000000000000e+00 1.500000000000000000e+01 1.200000000000000000e+01 2.700000000000000000e+01 2.800000000000000000e+01 2.300000000000000000e+01 8.000000000000000000e+00 1.600000000000000000e+01 1.900000000000000000e+01 2.300000000000000000e+01 1.300000000000000000e+01 1.700000000000000000e+01 4.100000000000000000e+01 2.000000000000000000e+01 2.500000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+01 7.000000000000000000e+00 1.200000000000000000e+01 1.700000000000000000e+01
DF/F, 1.426514042709826902e-01 1.030756811905144676e-01 2.891980511178486313e-01 4.712276952244032896e-02 3.967730384827037465e-02 3.593647823995611834e-02 7.832937657398647557e-04 -3.199298980168496093e-02 8.414006501174042807e-02 -1.853165992450998001e-01 1.112072650720327405e-01 8.207096199135220649e-02 1.118752841586654473e-01 7.665393867155524676e-02 1.305608832566675648e-01 7.253891586858593477e-02 1.947745834261832842e-01 2.081646078956053691e-01 -1.713384522259230880e-01 5.224798180137081582e-04 -7.566556165839080639e-03 2.066447382455019813e-02 -9.201850020417763967e-03 1.104505671471184627e-02 1.780112466541561023e-01 1.799398461429764229e-01 1.866420451423138893e-01 2.202977010765028165e-01 -2.795435125775202340e-02 1.007745279194259824e-01 2.842484757369926340e-01 5.006895424279529383e-01 1.511626247017595071e-01 4.357363757157000084e-01 8.020626017732583601e-02 9.345393197787861539e-02 1.570821391554244328e-01 5.546429707994324221e-02 5.092033209331502108e-02 2.154299093919249120e-01 1.402588572440999215e-01 7.434004021992518529e-02 1.360810984625105691e-01 1.085283915579415837e-01 9.143237821561914225e-02 5.276944094990125567e-02 4.076062125105354983e-02 3.698608592385983079e-02 6.160208187585496098e-02 5.892164635957611307e-03 1.497875558238768723e-01 4.528601648831907800e-02 1.105297965316778402e-01 1.415649631952692056e-01 -1.935504728391587367e-02
